"Wavelength","UV_normalized","blue_normalized","light_blue_normalized","white_normalized","green_normalized","orange_normalized","red_normalized","red_2_normalized","far_red_normalized"
482.1,0.00122780159179238,0.062447997027759,0.740022643639767,0.0347827315135795,0.00491947746338273,0.00023219669783173,-0.000193833702479102,0.00363519196392561,-0.000168924039505338
484,0.00119268456180297,0.0517224659500089,0.638198206166151,0.035828399490125,0.00668644063163579,0.000232188178415189,-0.000113065253426555,0.00335669644586238,-0.000168918241827528
485.8,0.000806791680444885,0.0421480018786082,0.553142902354154,0.0369722860518323,0.00916970158160736,0.000283776085377962,-0.000226125219229604,0.00283264359071542,-0.000168915342988623
487.7,0.000841842043077885,0.033825573172408,0.484395615810567,0.0381847316838396,0.012010971488026,0.00025797077267452,-0.000274570425790615,0.00283254365691391,-0.000197060169916314
489.6,0.000561205806266453,0.0272284705601442,0.426680141460347,0.0394228971211001,0.0159741787808974,0.000180571873397277,-0.00024225775854609,0.00242313485886546,-0.000161865366771902
491.4,0.000806686123797235,0.0218829628354603,0.375177972000126,0.0410756459174171,0.020724623038425,0.000206354467656609,-0.000193796689114561,0.0022920017245169,-0.000182966015160682
493.3,0.000561122472070939,0.0178565866007231,0.325755357970446,0.0427989947160736,0.0267391515710718,0.000206337428823527,-0.000226077630618051,0.00209537197665512,-0.000175913140105056
495.1,0.00059612283418663,0.0147772125043311,0.277990099611629,0.0448539492786308,0.0346372615854487,0.000154735322833184,-0.000290634226001524,0.00163681573502138,-0.000161821884188329
497,0.000455776937715743,0.0123742289132632,0.233543487984448,0.0471383208486463,0.0445362824131269,0.000154706924778047,-0.000242152006075972,0.00158742845031245,-9.84822541162263e-05
498.9,0.000385570655802094,0.0103433152835557,0.193718971927978,0.0493341098758156,0.0572206182924193,0.000103116178009759,-0.000355074493667867,0.0017670494651563,-0.000126592294977058
500.7,0.00038545954354141,0.00895482094133221,0.160371948653683,0.0515385703256798,0.0736875326125752,0.000180398645260939,-6.45407325129555e-05,0.00178287897931634,-0.000126554610071295
502.6,0.000280230677059933,0.00749902755770593,0.132819806893963,0.0535156750079067,0.0940489350832033,0.000360666659468245,-0.00022580796181925,0.00142251769105167,-0.000224903517597895
504.5,0.000140051448980073,0.00621264978565922,0.110931724747952,0.0554086140897609,0.120488369835516,0.000128751102382376,-0.000451414993945276,0.00147092562450575,-0.000168602268386894
506.3,0.000279958452021255,0.00523073113480504,0.0934389166088896,0.0570243519543179,0.154515766996726,0.000205894419163382,-0.000306158688614832,0.00130679434889679,-0.0002317070925077
508.2,0.000209841059916154,0.00441813901016898,0.0796573401583004,0.0585717439802805,0.19658727493033,0.000180049349182747,-0.000434801280889754,0.0011101046407541,-0.000175429034007938
510,0.000314547698772413,0.0041455081089545,0.0678329642883997,0.0600899232625741,0.249034843884642,0.000282742396170958,-0.000144838583073478,0.00114198352343753,-7.71381032594349e-05
511.9,0.000174618473279093,0.00316575225270931,0.0573818009877549,0.0615629075771685,0.31216133731169,0.000231163008624725,-0.000225131146010495,0.00145085891716145,-0.000161166746595821
513.8,0.000348959165906475,0.00275941907149066,0.0485949101038719,0.0628222032610662,0.384890735222263,0.000307971228355108,-6.42710637141549e-05,0.00140083205612282,-7.70192508643339e-05
515.6,-6.97340548057389e-05,0.00221916089686419,0.04072647562215,0.0643441496368257,0.465275869181345,0.000384645977226346,-0.000224766299988589,0.00128574829029764,-9.79430700799145e-05
517.5,3.48392493376982e-05,0.00204933945197125,0.0340344683137413,0.065869741259362,0.548205540234877,0.000333083628513195,-0.000192495933732111,0.00133347667390141,-0.000125821203828354
519.3,3.48114712725271e-05,0.0017120078323968,0.028613822503668,0.0674758126199312,0.627507506203695,0.00051202545354558,-0.000128230157641462,0.00155988669461479,-0.000160642056754034
521.2,-0.00020870771485717,0.00164366451259012,0.0241392762285003,0.0689605856016788,0.694249791380368,0.000613977311294702,-0.000256269960836712,0.00139637500857523,-0.000181461517769038
523,0.00027810287726782,0.00194434740429372,0.0204152763861051,0.0707849148437792,0.743158759432407,0.000536893630429485,-0.000272116968483879,0.00128191083231945,-0.000202272282267328
524.9,0.000312725457697183,0.001474337986372,0.0172466514879155,0.0723692365703759,0.766753970527602,0.000587757386986253,-0.000239994655685566,0.00157327782401786,-0.000167320981590927
526.7,6.9478496606164e-05,0.00147398164492613,0.0149864576854763,0.0739521367522685,0.763210226090178,0.000485419315687261,-0.000239936491827002,0.00139451623986704,-0.000223042463020948
528.6,0.000104217744909246,0.0011390305841776,0.0126020208410567,0.0755652955285766,0.734719579776412,0.000485439194325857,-0.000319927660224183,0.001232423613809,-0.000236991675831335
530.4,0.000173768464484855,0.0010724491748533,0.0107046063858324,0.077202315948132,0.686647570789477,0.000562307049972029,-0.000288043290483635,0.00139511584267613,-0.00017432457638517
532.3,-6.95618308016775e-05,0.000603741393046369,0.00897076104567468,0.0784747710744333,0.627274912518635,0.000332541225660069,-0.000320308369116607,0.00126636113280364,-0.000230295357961013
534.2,-6.96562762232596e-05,0.000671698676286685,0.00759309234299821,0.0798925893006183,0.565383813030204,0.000307363509975166,-0.000368838177653712,0.00118673387975614,-0.000216621534846591
536,-0.000244246971437182,0.000605661677504693,0.00634484231630167,0.0812399293711527,0.505683632594707,0.000256616185444462,-0.000385594656543894,0.00112381555832202,-0.000175023196561251
537.9,-0.000209885504820428,0.000505994954768294,0.00535479361895365,0.0825148823545769,0.452426864537052,0.000257263661101597,-0.000402673680467935,0.000849077551195776,-0.000217575252846304
539.7,-0.000280752904685151,0.000439948057612805,0.0045907635068213,0.0840982902310067,0.405994735580071,0.00023228757160817,-0.000339343813737829,0.00101562722480141,-0.000260530247739138
541.6,-0.000317119947607264,0.000475705931868962,0.0035959128387578,0.0855946386482018,0.365801071817299,0.000233224707427707,-0.000389385882597621,0.00101974449742384,-0.000268652794350672
543.4,-0.00017704072056202,0.000409748120074941,0.00315363066512761,0.0871665726280915,0.330400577691895,0.000182287115927582,-0.000342384197253719,0.00104127023827027,-0.000234446495272832
545.3,-0.00021369109974888,0.000343443865208543,0.00257724709904165,0.0888101930766301,0.298066954219373,0.000183349203189724,-0.000508367986727272,0.00088107635444102,-0.000271540037899954
547.1,-0.000358570376455704,0.000484089854220509,0.00226211379569722,0.0905646127809616,0.2675073208918,0.000158225443809582,-0.000643910927677387,0.00100423477142865,-0.0003309430447392
