"Wavelength","UV_normalized","blue_normalized","light_blue_normalized","white_normalized","green_normalized","orange_normalized","red_normalized","far_red_normalized"
352.6,-0.000812997245160351,-0.000273388325519043,-0.000720044780044067,0.000139650396415559,-1.37442693809419e-05,-9.56696960712247e-05,0.000107748799694068,8.30689406820392e-05
354.5,-0.000629455175341227,-0.000784934522237664,-0.000572914886908127,0.000299381241988911,3.76782557167201e-05,-4.97324287841325e-05,-8.84283252661658e-05,-8.02094246516764e-05
356.4,-0.000455325519358981,-0.000281843634555714,-0.000852684607946921,0.00015315906221262,0,-1.14645503556426e-05,-0.000108491894864372,4.51803532797322e-05
358.2,-0.000480033105680786,-0.000573551796320879,-0.000705554714810982,0.000165024782169497,7.523802635257e-05,-0.000244313521371971,-0.000100317847991029,-5.33299739662661e-05
360.1,-0.000377673105204736,-0.000260705361964036,-0.000538361654429233,9.85767504109828e-05,0.000120262357083242,-0.000238778910855453,-4.71122337972682e-05,-0.00017443047785213
362,-0.000185895173278344,-0.000173333835251764,-0.000519413107585968,6.95513739010823e-05,0.00011315325223103,-8.46004750381904e-05,-9.5859276969205e-05,-1.0065496426877e-05
363.9,-0.000336493794668394,-0.000204336635052893,-0.000503808421950338,0.000159730845573352,0.000116115379252785,-1.77107536528548e-05,6.99995650426288e-06,-7.93515698425675e-05
365.8,-0.000168246897334197,-0.000116965108340621,-0.000389002520488203,8.92667239832788e-05,0.00011907750627454,-5.06021532938709e-05,-8.6942134925558e-05,1.51554349609228e-05
367.7,-0.000145892414471611,-0.000260705361964036,-0.000578487988920852,0.000123951136164921,0.000212088294757638,9.64603547164414e-05,-5.09763286828486e-05,-8.67863115215108e-06
369.5,-0.00015412827657888,-9.55449921143871e-05,-0.000503808421950338,0.00010368813746933,-1.56400306748649e-05,5.42391830618679e-05,-1.22610703100146e-05,0
371.4,-6.74164141066398e-05,-0.000126406870098238,-0.000293145165869334,0.000142936288095925,9.77501917179059e-05,-0.000112273527620776,-0.000153077605082606,1.33682374419461e-05
